customer_id,first_name,last_name,email_address,mobile_number,birthday,age,delivery_address,city,province,postal_code,account_status,date_registered,created_by
90001,Juan,Dela Cruz,juan.delacruz1@gmail.com,9171234501,3/12/1995,30,123 Mabini St.,Quezon City,Metro Manila,1100,Active,1/15/2024,
90002,Maria,Santos,maria.santos2@gmail.com,9171234502,7/25/1998,27,45 Rizal Ave.,Manila,Metro Manila,1000,Active,2/20/2024,
90003,Jose,Reyes,jose.reyes3@gmail.com,9171234503,11/8/1992,32,78 Bonifacio St.,Makati,Metro Manila,1200,Inactive,3/5/2024,
90004,Ana,Cruz,ana.cruz4@gmail.com,9171234504,1/18/2000,25,22 Luna St.,Pasig,Metro Manila,1600,Active,4/10/2024,
90005,Carlos,Gonzales,carlos.gonzales5@gmail.com,9171234505,9/30/1997,27,10 Sampaguita Rd.,Taguig,Metro Manila,1630,Suspended,5/12/2024,
90006,Bea,Lopez,bea.lopez6@gmail.com,9171234506,6/21/1999,25,89 Orchid St.,Mandaluyong,Metro Manila,1550,Active,6/18/2024,
90007,Mark,Ramos,mark.ramos7@gmail.com,9171234507,12/11/1994,30,56 Narra St.,Caloocan,Metro Manila,1400,Active,7/1/2024,
90008,Joy,Garcia,joy.garcia8@gmail.com,9171234508,4/3/2001,23,34 Pine St.,Quezon City,Metro Manila,1101,Inactive,7/15/2024,
90009,Paolo,Torres,paolo.torres9@gmail.com,9171234509,8/19/1993,31,67 Maple St.,Manila,Metro Manila,1001,Active,8/10/2024,
90010,Liza,Flores,liza.flores10@gmail.com,9171234510,10/5/1996,28,90 Acacia St.,Pasay,Metro Manila,1300,Active,8/25/2024,
90011,Ken,Navarro,ken.navarro11@gmail.com,9171234511,2/14/1991,34,15 Mango St.,Parañaque,Metro Manila,1700,Active,9/2/2024,
90012,Kim,Castro,kim.castro12@gmail.com,9171234512,3/9/2002,23,101 Coconut Rd.,Las Piñas,Metro Manila,1740,Inactive,9/15/2024,
90013,Ralph,Diaz,ralph.diaz13@gmail.com,9171234513,5/20/1990,34,55 Palm St.,Valenzuela,Metro Manila,1440,Active,9/30/2024,
90014,Trisha,Mendoza,trisha.mendoza14@gmail.com,9171234514,12/1/1998,26,78 Banana St.,Marikina,Metro Manila,1800,Active,10/10/2024,
90015,Neil,Alvarez,neil.alvarez15@gmail.com,9171234515,7/7/1997,27,23 Apple St.,Antipolo,Rizal,1870,Suspended,10/20/2024,
90016,Angelica,Domingo,angelica.domingo16@gmail.com,9171234516,11/22/1995,29,11 Cherry St.,Cainta,Rizal,1900,Active,11/5/2024,
90017,Patrick,Salazar,patrick.salazar17@gmail.com,9171234517,6/13/1993,31,44 Peach St.,Taytay,Rizal,1920,Active,11/15/2024,
90018,Kate,Bautista,kate.bautista18@gmail.com,9171234518,1/30/1999,26,77 Lemon St.,San Juan,Metro Manila,1500,Inactive,11/25/2024,
90019,Joshua,Velasco,joshua.velasco19@gmail.com,9171234519,4/17/1994,30,66 Orange St.,Pasig,Metro Manila,1601,Active,12/1/2024,
90020,Michelle,Aguilar,michelle.aguilar20@gmail.com,9171234520,9/9/1996,28,88 Grapes St.,Taguig,Metro Manila,1631,Active,12/15/2024,
90021,Daniel,Herrera,daniel.herrera21@gmail.com,9171234521,5/11/1993,31,12 Dahlia St.,Quezon City,Metro Manila,1102,Active,1/5/2025,
90022,Erika,Lim,erika.lim22@gmail.com,9171234522,8/19/1997,27,98 Rose St.,Manila,Metro Manila,1002,Active,1/10/2025,
90023,Vincent,Chua,vincent.chua23@gmail.com,9171234523,10/2/1991,34,45 Orchid St.,Makati,Metro Manila,1201,Inactive,1/12/2025,
90024,Carla,Ong,carla.ong24@gmail.com,9171234524,12/25/1999,25,76 Ilang-Ilang St.,Pasig,Metro Manila,1602,Active,1/18/2025,
90025,Bryan,Tan,bryan.tan25@gmail.com,9171234525,4/14/1996,28,21 Kamias Rd.,Quezon City,Metro Manila,1103,Suspended,1/20/2025,
90026,Denise,Yu,denise.yu26@gmail.com,9171234526,2/7/1998,27,34 Molave St.,Taguig,Metro Manila,1632,Active,1/22/2025,
90027,Allan,Sy,allan.sy27@gmail.com,9171234527,9/9/1992,32,89 Yakal St.,Mandaluyong,Metro Manila,1551,Active,1/25/2025,
90028,Jasmine,Go,jasmine.go28@gmail.com,9171234528,6/18/2000,24,11 Narra St.,Pasay,Metro Manila,1301,Inactive,1/28/2025,
90029,Kevin,Co,kevin.co29@gmail.com,9171234529,1/3/1995,30,67 Acacia Ave.,Parañaque,Metro Manila,1701,Active,2/1/2025,
90030,Nicole,Ang,nicole.ang30@gmail.com,9171234530,3/15/1997,27,90 Pine St.,Las Piñas,Metro Manila,1741,Active,2/5/2025,
90031,Leo,Cruz,leo.cruz31@gmail.com,9171234531,7/21/1994,30,15 Mango St.,Marikina,Metro Manila,1801,Active,2/10/2025,
90032,Ivy,Flores,ivy.flores32@gmail.com,9171234532,11/11/1993,31,88 Apple St.,Valenzuela,Metro Manila,1441,Inactive,2/12/2025,
90033,Noel,Ramos,noel.ramos33@gmail.com,9171234533,5/5/1998,26,23 Cherry St.,Caloocan,Metro Manila,1401,Active,2/15/2025,
90034,Grace,Torres,grace.torres34@gmail.com,9171234534,9/19/1999,25,44 Peach St.,San Juan,Metro Manila,1501,Active,2/18/2025,
90035,Paolo,Reyes,paolo.reyes35@gmail.com,9171234535,12/12/1991,34,77 Lemon St.,Pasig,Metro Manila,1603,Suspended,2/20/2025,
90036,Carla,Bautista,carla.bautista36@gmail.com,9171234536,6/30/1996,28,66 Orange St.,Taguig,Metro Manila,1633,Active,2/25/2025,
90037,John,Diaz,john.diaz37@gmail.com,9171234537,2/28/1995,29,55 Palm St.,Makati,Metro Manila,1202,Active,3/1/2025,
90038,Ella,Mendoza,ella.mendoza38@gmail.com,9171234538,1/1/2001,24,78 Banana St.,Quezon City,Metro Manila,1104,Inactive,3/5/2025,
90039,Mark,Navarro,mark.navarro39@gmail.com,9171234539,8/8/1992,32,23 Apple St.,Manila,Metro Manila,1003,Active,3/8/2025,
90040,Anne,Castro,anne.castro40@gmail.com,9171234540,10/10/1997,27,11 Cherry St.,Pasay,Metro Manila,1302,Active,3/10/2025,
90041,Adrian,Lim,adrian.lim41@gmail.com,9171234541,6/14/1994,30,25 Sampaguita St.,Quezon City,Metro Manila,1105,Active,3/12/2025,
90042,Bianca,Tan,bianca.tan42@gmail.com,9171234542,9/22/1998,27,67 Rizal Ave.,Manila,Metro Manila,1004,Active,3/15/2025,
90043,Cedric,Ong,cedric.ong43@gmail.com,9171234543,3/3/1991,34,89 Ayala Ave.,Makati,Metro Manila,1203,Inactive,3/18/2025,
90044,Dana,Yu,dana.yu44@gmail.com,9171234544,7/11/2000,25,14 Shaw Blvd.,Mandaluyong,Metro Manila,1552,Active,3/20/2025,
90045,Ethan,Co,ethan.co45@gmail.com,9171234545,11/29/1996,28,33 C5 Road,Taguig,Metro Manila,1634,Suspended,3/22/2025,
90046,Faith,Chua,faith.chua46@gmail.com,9171234546,5/17/1997,28,55 Ortigas Ave.,Pasig,Metro Manila,1604,Active,3/25/2025,
90047,Gabriel,Sy,gabriel.sy47@gmail.com,9171234547,1/9/1993,32,78 Aurora Blvd.,Quezon City,Metro Manila,1106,Active,3/28/2025,
90048,Hannah,Go,hannah.go48@gmail.com,9171234548,2/20/1999,26,21 Taft Ave.,Pasay,Metro Manila,1303,Inactive,4/1/2025,
